"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"132","Cloudflare Agents SDK","09 · Agent Frameworks & LLM Libraries","TypeScript","Framework","https://github.com/cloudflare/agents","cloudflare/agents","5,590","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Build stateful agents on Durable Objects: persistent state, scheduling, WebSockets, remote MCP servers.","Agents that live at the edge and cost nothing when idle.","Cloudflare builders","Python / TypeScript apps; most support local models","Windows / macOS / Linux","npm create cloudflare@latest -- --template cloudflare/agents-starter","Medium","🚀 Add now","Also the easiest way to host a remote MCP server with auth.","Agents that sleep for free.",""
"133","LangGraph","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/langchain-ai/langgraph","langchain-ai/langgraph","41,838","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Low-level orchestration for stateful, long-running agents as graphs with persistence and human-in-the-loop.","When you need durable, inspectable control flow rather than a black-box loop.","Production agent systems","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install langgraph","High","🔍 Explore","Steep learning curve; worth it for complex approval flows.","Agents as graphs you can debug.",""
"134","LangChain","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/langchain-ai/langchain","langchain-ai/langchain","146,531","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","The largest ecosystem of LLM integrations, loaders and agent abstractions.","Integration breadth: if a tool exists, LangChain has a wrapper.","Integration-heavy projects","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install langchain","Medium","🔍 Explore","Use the integrations, keep your own control flow.","The npm of LLM integrations.",""
"135","CrewAI","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/crewAIInc/crewAI","crewAIInc/crewAI","58,699","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + enterprise","Role-based multi-agent framework: define agents, tasks and crews.","Fastest way to demo a multi-agent workflow to a client.","Prototypes, demos","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install crewai","Low","🔍 Explore","Multi-agent often costs more than one good agent — measure.","A team of AI agents in 30 lines.",""
"136","Pydantic AI","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/pydantic/pydantic-ai","pydantic/pydantic-ai","20,010","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Type-safe agent framework from the Pydantic team: validated outputs, dependency injection, evals.","FastAPI-style ergonomics; outputs are guaranteed to match your schema.","Python backend devs","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install pydantic-ai","Low","🚀 Add now","Excellent fit for document-processing pipelines.","Agents with type safety.",""
"137","OpenAI Agents SDK","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/openai/openai-agents-python","openai/openai-agents-python","29,523","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Lightweight multi-agent SDK: agents, handoffs, guardrails, sessions, tracing.","Minimal abstractions; works with non-OpenAI models via LiteLLM.","Python agent builders","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install openai-agents","Low","🔍 Explore","Built-in tracing is genuinely good.","OpenAI's take on agents.",""
"138","Google ADK","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/google/adk-python","google/adk-python","21,565","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Google's code-first Agent Development Kit with evaluation and deployment tooling.","Best path if a client is on Google Cloud / Gemini.","GCP-based projects","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install google-adk","Medium","🔍 Explore","Model-agnostic despite the name.","Google's agent toolkit.",""
"139","Agno","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/agno-agi/agno","agno-agi/agno","42,218","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0 / MPL — see repo)","High-performance multi-agent framework and runtime with memory, knowledge and a control UI.","Fast instantiation and a ready FastAPI runtime.","Self-hosted agent services","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install agno","Medium","🔍 Explore","Nice when you want the API server included.","Agents that start in microseconds.",""
"140","smolagents","09 · Agent Frameworks & LLM Libraries","Python","Library","https://github.com/huggingface/smolagents","huggingface/smolagents","29,367","🟢 Active · last commit august 2026","FREE (open source)","Open source (Apache-2.0)","Minimal Hugging Face library where agents write Python code as their actions.","Tiny codebase you can read in an hour; great with open models.","Learners, open-model users","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install smolagents","Low","🔍 Explore","Sandbox code execution (E2B / Docker).","Agents in ~1,000 lines of code.",""
"141","LlamaIndex","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/run-llama/llama_index","run-llama/llama_index","52,202","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Data framework for LLM apps: ingestion, indexing, retrieval, document agents and workflows.","The most complete RAG toolbox.","RAG & document AI","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install llama-index","Medium","🚀 Add now","Start with the simplest retriever; add complexity only after evals.","The RAG toolbox.",""
"142","DSPy","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/stanfordnlp/dspy","stanfordnlp/dspy","38,098","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Program LLMs with signatures and modules, then optimise prompts automatically against a metric.","Replaces prompt tweaking with compilation; big wins on classification/extraction.","Devs with eval datasets","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install dspy","High","🔍 Explore","Needs labelled examples and a metric — no data, no gain.","Stop prompting. Start programming.",""
"143","Letta (MemGPT)","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/letta-ai/letta","letta-ai/letta","24,776","🟢 Active · last commit september 2026","FREE (open source)","Open source (Apache-2.0) + cloud","Stateful agents with self-editing long-term memory.","Assistants that genuinely remember users across months.","Companion / assistant products","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install letta","Medium","🔍 Explore","Good inspiration for second-brain style products.","Agents with real long-term memory.",""
"144","AutoGen / AG2","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/microsoft/autogen","microsoft/autogen","61,019","🟡 Slower · last commit april 2026","FREE (open source)","Open source (MIT code, CC-BY docs)","Microsoft's multi-agent conversation framework (community fork: AG2).","Research-grade multi-agent patterns.","Researchers","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install autogen-agentchat","Medium","🔍 Explore","Microsoft's newer Agent Framework is the forward path for .NET/Python.","Agents that talk to each other.",""
"145","Microsoft Agent Framework","09 · Agent Frameworks & LLM Libraries",".NET / Python","Framework","https://github.com/microsoft/agent-framework","microsoft/agent-framework","13,563","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Successor unifying Semantic Kernel and AutoGen for building agents in .NET and Python.","First-class agents in C# / ASP.NET Core.",".NET developers","Python / TypeScript apps; most support local models","Windows / macOS / Linux","dotnet add package Microsoft.Agents.AI","Medium","🔍 Explore","The route for AI features in ASP.NET Core apps.","AI agents in C#.",""
"146","Semantic Kernel","09 · Agent Frameworks & LLM Libraries",".NET / Python","Framework","https://github.com/microsoft/semantic-kernel","microsoft/semantic-kernel","28,568","🟢 Active · last commit last friday","FREE (open source)","Open source (MIT)","Microsoft's SDK for integrating LLMs into C#, Python and Java apps with plugins and planners.","Mature option for enterprise .NET shops.",".NET enterprise projects","Python / TypeScript apps; most support local models","Windows / macOS / Linux","dotnet add package Microsoft.SemanticKernel","Medium","🔍 Explore","Works with Ollama for on-prem deployments.","LLMs for .NET shops.",""
"147","Hermes Agent (Nous Research)","09 · Agent Frameworks & LLM Libraries","Agents","Agent","https://github.com/NousResearch/hermes-agent","NousResearch/hermes-agent","246,465","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Nous Research's open agent built around their Hermes models, with tools, memory and messaging integrations.","An open, self-hostable personal/ops agent you fully control.","Self-hosters, open-model fans","Python / TypeScript apps; most support local models","Windows / macOS / Linux","See repo install script","Medium","✅ In my stack","Pin versions; agent frameworks move fast.","An open-source agent you own.",""
"148","Instructor","09 · Agent Frameworks & LLM Libraries","Structured output","Library","https://github.com/567-labs/instructor","567-labs/instructor","13,911","🟢 Active · last commit last friday","FREE (open source)","Open source (MIT)","Structured outputs from any LLM via Pydantic models with automatic retries.","The simplest reliable JSON extraction.","Extraction pipelines","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install instructor","Low","🚀 Add now","Perfect for invoices, contracts and form extraction.","LLM output you can trust as JSON.",""
"149","LiteLLM","09 · Agent Frameworks & LLM Libraries","Gateways","Library + proxy","https://github.com/BerriAI/litellm","BerriAI/litellm","58,998","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + enterprise","Call 100+ LLM APIs in the OpenAI format; proxy server with keys, budgets, fallbacks and logging.","One endpoint for Ollama + cloud models, with per-client spend limits.","Anyone serving multiple models/clients","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install 'litellm[proxy]'","Medium","🚀 Add now","Virtual keys per client = instant usage-based billing.","One API for every LLM.",""
"150","OpenRouter","09 · Agent Frameworks & LLM Libraries","Gateways","API platform","https://openrouter.ai","","","—","FREEMIUM","Pay-as-you-go; some free models","Unified API and billing for hundreds of models.","Try any new model the day it ships without a new account.","Model hoppers","Python / TypeScript apps; most support local models","Windows / macOS / Linux","Create key, use OpenAI-compatible endpoint","Low","🚀 Add now","Set provider preferences to avoid quantised endpoints.","Every model. One key.",""
"151","E2B","09 · Agent Frameworks & LLM Libraries","Sandboxes","Platform + SDK","https://github.com/e2b-dev/E2B","e2b-dev/E2B","13,855","🟢 Active · last commit today","FREE (open source)","Open source SDK; cloud freemium · GitHub license: Apache-2.0","Secure cloud sandboxes for running AI-generated code.","Safe code interpreter for your agents.","Agent products running code","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install e2b-code-interpreter","Low","🔍 Explore","Never exec model-written code on your server.","A safe place for AI to run code.",""
"152","Daytona","09 · Agent Frameworks & LLM Libraries","Sandboxes","Platform","https://github.com/daytonaio/daytona","daytonaio/daytona","71,709","🟢 Active · last commit june 2026","FREE (open source)","Open source (AGPL-3.0) + cloud","Fast, elastic sandbox infrastructure for AI-generated code.","Sub-second sandbox start for agent workloads.","Agent infra builders","Python / TypeScript apps; most support local models","Windows / macOS / Linux","See docs","Medium","🔍 Explore","Alternative to E2B with self-host path.","Sandboxes that boot in milliseconds.",""
"153","n8n","10 · Workflow Automation","Visual automation","Platform","https://github.com/n8n-io/n8n","n8n-io/n8n","204,974","🟢 Active · last commit today","FREE (open source)","Fair-code (Sustainable Use License); free self-host, paid cloud","Workflow automation with 400+ integrations, code nodes and native AI agent nodes.","The best leverage-per-hour tool for client automations; self-host on a cheap VPS.","Automation engineers, agencies","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker run -it --rm -p 5678:5678 -v n8n_data:/home/node/.n8n docker.n8n.io/n8nio/n8n","Low","✅ In my stack","License forbids reselling n8n itself as a hosted service — read it for client work.","The tool that pays my bills.",""
"154","n8n workflow templates (official)","10 · Workflow Automation","Templates","Template library","https://n8n.io/workflows","","","—","FREE (closed source)","Free","Thousands of community and official workflow templates.","Start from a working flow instead of a blank canvas.","n8n users","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Import into n8n","Low","✅ In my stack","Search before you build — someone has done 80% of it.","Thousands of automations, ready to import.",""
"155","awesome-n8n-templates","10 · Workflow Automation","Templates","Template collection","https://github.com/enescingoz/awesome-n8n-templates","enescingoz/awesome-n8n-templates","25,418","🟢 Active · last commit last saturday","FREE (open source)","Open source","Hundreds of free n8n workflows by category (Gmail, Telegram, RAG, Notion...).","Ready client-demo material.","n8n freelancers","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Import JSON","Low","🚀 Add now","Check credentials/nodes for outdated versions.","280+ free automations.",""
"156","n8n-workflows (Zie619)","10 · Workflow Automation","Templates","Template collection","https://github.com/Zie619/n8n-workflows","Zie619/n8n-workflows","56,654","🟢 Active · last commit june 2026","FREE (open source)","Open source · GitHub license: MIT","Large searchable archive of n8n workflows with a local browsing UI.","A corpus to mine for patterns — or to feed an agent as examples.","n8n power users","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Clone + run the browser","Low","🔍 Explore","Quality varies; treat as raw material.","Thousands of n8n workflows, searchable.",""
"157","n8n Self-hosted AI Starter Kit","10 · Workflow Automation","Starter kits","Docker template","https://github.com/n8n-io/self-hosted-ai-starter-kit","n8n-io/self-hosted-ai-starter-kit","15,254","🟢 Active · last commit july 2026","FREE (open source)","Open source (Apache-2.0)","Docker Compose bundle: n8n + Ollama + Qdrant + Postgres.","A private AI automation stack on one VPS in one command — a sellable client package.","Private-AI deployments","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","git clone → docker compose --profile cpu up","Low","🚀 Add now","Exactly the on-prem offer enterprises ask for.","Private AI stack. One docker compose.",""
"158","Activepieces","10 · Workflow Automation","Visual automation","Platform","https://github.com/activepieces/activepieces","activepieces/activepieces","24,522","🟢 Active · last commit today","FREE (open source)","Open source (MIT core) + cloud","Open-source Zapier alternative with MCP support and a friendlier UI for non-technical users.","MIT core is friendlier than n8n's license for embedding.","White-label / embed cases","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker compose up","Low","🔍 Explore","Consider when license terms matter for a client.","Open-source Zapier.",""
"159","Windmill","10 · Workflow Automation","Code-first automation","Platform","https://github.com/windmill-labs/windmill","windmill-labs/windmill","17,957","🟢 Active · last commit today","FREE (open source)","Open source (AGPL-3.0) + enterprise","Turns scripts (Python, TS, Go, Bash, SQL) into workflows, webhooks and internal UIs.","Code-first alternative when n8n nodes become spaghetti.","Developers who prefer code","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker compose up","Medium","🔍 Explore","Fast runtime; great for cron + internal tools.","Scripts to production in minutes.",""
"160","Trigger.dev","10 · Workflow Automation","Background jobs","Platform","https://github.com/triggerdotdev/trigger.dev","triggerdotdev/trigger.dev","16,323","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0) + cloud freemium","Long-running background jobs and AI workflows in TypeScript with retries, queues and observability.","No timeouts — ideal for LLM chains and media processing from a Next.js app.","TS full-stack devs","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","npx trigger.dev@latest init","Medium","🚀 Add now","Solves serverless timeouts for AI tasks.","Background jobs without the infra.",""
"161","Inngest","10 · Workflow Automation","Background jobs","Platform","https://github.com/inngest/inngest","inngest/inngest","5,840","🟢 Active · last commit today","FREE (open source)","Source-available server; cloud freemium","Event-driven durable functions with steps, retries and flow control.","Durable multi-step AI flows inside serverless apps.","Serverless builders","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","npx inngest-cli@latest dev","Medium","🔍 Explore","Step-level retries save LLM spend on failures.","Durable functions for serverless.",""
"162","Temporal","10 · Workflow Automation","Durable execution","Platform","https://github.com/temporalio/temporal","temporalio/temporal","23,260","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT) + cloud","Durable execution engine: workflows that survive crashes and run for months.","The heavyweight answer for mission-critical processes.","Enterprise workflows","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","temporal server start-dev","High","🔍 Explore","Overkill until you truly need it.","Workflows that never die.",""
"163","Dify","10 · Workflow Automation","LLM app builders","Platform","https://github.com/langgenius/dify","langgenius/dify","156,155","🟢 Active · last commit today","FREE (open source)","Open source (modified Apache-2.0) + cloud","Visual LLM app platform: chatflows, agents, RAG pipeline, model management, API.","Ship a client-facing RAG chatbot with admin UI in a day.","Agencies, internal tools","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker compose up","Low","🚀 Add now","License restricts multi-tenant SaaS — check it.","A RAG chatbot in a day.",""
"164","Flowise","10 · Workflow Automation","LLM app builders","Platform","https://github.com/FlowiseAI/Flowise","FlowiseAI/Flowise","55,465","⚠ Archived (read-only)","FREE (open source)","Open source (Apache-2.0) + cloud","Drag-and-drop builder for LLM flows and agents.","Quick visual prototypes to show clients.","Prototypers","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","npx flowise start","Low","🔍 Explore","⚠ Repo archived by its owner on 13 Aug 2026 (read-only). Prefer Langflow, Dify or n8n for new work.","This famous AI tool was just archived.",""
"165","Langflow","10 · Workflow Automation","LLM app builders","Platform","https://github.com/langflow-ai/langflow","langflow-ai/langflow","154,940","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Visual builder for agents and RAG, exportable as API or MCP server.","Every flow becomes an MCP tool.","Visual thinkers","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","uv pip install langflow","Low","🔍 Explore","MCP export is the standout feature.","Visual agents, exported as MCP.",""
"166","Kestra","10 · Workflow Automation","Orchestration","Platform","https://github.com/kestra-io/kestra","kestra-io/kestra","28,146","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0) + enterprise","Declarative YAML orchestration for data, infra and AI workflows.","Git-friendly workflows-as-code.","Data/ops pipelines","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker run kestra/kestra","Medium","🔍 Explore","YAML flows are easy for agents to write.","Workflows as YAML.",""
"167","Make","10 · Workflow Automation","Managed automation","Platform","https://www.make.com","","","—","FREEMIUM","Free tier; paid by operations","Visual SaaS automation with a huge app library.","When a client refuses self-hosting.","Non-technical clients","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Sign up","Low","🔍 Explore","Costs scale with operations — model it first.","No-code automation for clients.",""
"168","Zapier","10 · Workflow Automation","Managed automation","Platform","https://zapier.com","","","—","FREEMIUM","Free tier; paid by tasks","The largest app-integration catalogue, with agents and an MCP endpoint.","Widest integration coverage.","Non-technical teams","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Sign up","Low","🔍 Explore","Most expensive per task at scale.","8,000 apps, zero code.",""
"169","Pipedream","10 · Workflow Automation","Managed automation","Platform","https://pipedream.com","","","—","FREEMIUM","Free tier; paid credits","Developer-focused automation with code steps and managed auth; MCP servers for thousands of APIs.","Fastest way to get an authenticated API call working.","Developers","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Sign up","Low","🔍 Explore","Great for one-off webhooks and OAuth-heavy APIs.","Zapier for developers.",""
"170","Ollama","11 · Local LLMs & Inference","Runners","Platform","https://github.com/ollama/ollama","ollama/ollama","181,252","🟢 Active · last commit today","FREE (open source)","Open source (MIT); optional paid cloud","One-command local model runner with a model library and OpenAI-compatible API.","The default way to run open models privately — the base of any on-prem AI offer.","Private AI, prototyping","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","winget install Ollama.Ollama  →  ollama run llama3.2","Low","✅ In my stack","Raise the default context length (num_ctx) or RAG answers get silently truncated.","ChatGPT, offline, on your laptop.",""
"171","llama.cpp","11 · Local LLMs & Inference","Engines","Inference engine","https://github.com/ggml-org/llama.cpp","ggml-org/llama.cpp","128,573","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","The C/C++ inference engine under most local tools; GGUF quantisation; llama-server with OpenAI API.","Maximum control and speed on CPU or mixed CPU/GPU.","Performance tuners, edge devices","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Download release → llama-server -m model.gguf","Medium","🔍 Explore","Ollama and LM Studio are wrappers around this.","The engine under every local LLM app.",""
"172","LM Studio","11 · Local LLMs & Inference","Runners","Desktop app","https://lmstudio.ai","","","—","FREE (closed source)","Free for personal and work use (verify terms)","Desktop GUI to discover, download, chat with and serve local models; MLX + llama.cpp backends.","Friendliest way to compare quantisations and models visually.","Beginners, model testers","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Download","Low","🚀 Add now","Its local server is OpenAI-compatible — point n8n at it.","The App Store for local AI.",""
"173","vLLM","11 · Local LLMs & Inference","Serving","Inference server","https://github.com/vllm-project/vllm","vllm-project/vllm","92,022","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","High-throughput GPU serving with PagedAttention, continuous batching and OpenAI-compatible API.","Production serving for many concurrent users — the step after Ollama.","Enterprise private-LLM deployments","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Linux (WSL2 / Docker on Windows)","pip install vllm  →  vllm serve <model>","High","🚀 Add now","Linux + NVIDIA. On Windows use WSL2 or Docker.","How you serve an LLM to 1,000 users.",""
"174","SGLang","11 · Local LLMs & Inference","Serving","Inference server","https://github.com/sgl-project/sglang","sgl-project/sglang","36,108","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Fast serving framework with RadixAttention prefix caching and structured-output speedups.","Often beats vLLM on agentic / shared-prefix workloads.","High-load serving","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Linux","pip install sglang","High","🔍 Explore","Benchmark both on your real traffic.","vLLM's fastest rival.",""
"175","Open WebUI","11 · Local LLMs & Inference","Interfaces","Web app","https://github.com/open-webui/open-webui","open-webui/open-webui","152,387","🟢 Active · last commit september 2026","FREE (open source)","Open source (custom license with branding clause)","Self-hosted ChatGPT-style UI for Ollama and OpenAI-compatible APIs with RAG, users, roles and tools.","Hand a client a private ChatGPT with SSO and document chat in an afternoon.","Client deployments, teams","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","docker run -d -p 3000:8080 -v open-webui:/app/backend/data --name open-webui ghcr.io/open-webui/open-webui:main","Low","🚀 Add now","Read the license before white-labelling.","A private ChatGPT for your company.",""
"176","AnythingLLM","11 · Local LLMs & Inference","Interfaces","Desktop + server app","https://github.com/Mintplex-Labs/anything-llm","Mintplex-Labs/anything-llm","66,313","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","All-in-one private document chat with workspaces, agents and a built-in vector DB.","MIT-licensed alternative for white-label document chat.","Agencies","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Download desktop / docker","Low","🔍 Explore","Simpler RAG than Open WebUI, friendlier license.","Chat with your docs, fully offline.",""
"177","LibreChat","11 · Local LLMs & Inference","Interfaces","Web app","https://github.com/danny-avila/LibreChat","danny-avila/LibreChat","44,425","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Multi-provider ChatGPT clone with agents, MCP, code interpreter and auth.","Best multi-model team chat with MCP support.","Teams","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","docker compose up","Medium","🔍 Explore","MIT license + MCP = strong client option.","Every model in one chat UI.",""
"178","Jan","11 · Local LLMs & Inference","Runners","Desktop app","https://github.com/janhq/jan","janhq/jan","44,510","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Offline-first desktop assistant with local and cloud models.","Fully open-source LM Studio alternative.","Privacy-first users","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Download","Low","🔍 Explore","Good to recommend to non-technical clients.","Open-source, offline ChatGPT.",""
"179","LocalAI","11 · Local LLMs & Inference","Engines","API server","https://github.com/mudler/LocalAI","mudler/LocalAI","49,143","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Drop-in OpenAI API replacement covering text, images, audio and embeddings on consumer hardware.","One local endpoint for LLM + Whisper + TTS + image.","Self-hosters","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","docker run localai/localai","Medium","🔍 Explore","Handy when a workflow needs several modalities locally.","The whole OpenAI API, self-hosted.",""
"180","Hugging Face Hub","11 · Local LLMs & Inference","Model hubs","Platform","https://huggingface.co","","","—","FREEMIUM","Free; paid compute / Pro","The home of open models, datasets and Spaces.","Every open model, leaderboard and dataset starts here.","Everyone in AI","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","pip install huggingface_hub","Low","🚀 Add now","Follow model authors (Qwen, Nous, unsloth) for day-one releases.","GitHub, but for AI models.",""
"181","Nous Research Hermes models","11 · Local LLMs & Inference","Open models","Model family","https://huggingface.co/NousResearch","","","—","FREE (closed source)","Open weights (license varies by base model)","Hermes fine-tunes known for strong instruction following, function calling and low refusal rates.","Steerable open models for agents and private deployments.","Open-model agent builders","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","ollama run hermes3","Low","✅ In my stack","Check the base-model license for commercial use.","The open model that does what you ask.",""
"182","whisper.cpp","11 · Local LLMs & Inference","Speech","Inference engine","https://github.com/ggml-org/whisper.cpp","ggml-org/whisper.cpp","53,729","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Whisper speech-to-text in C/C++ for CPU and edge devices.","Offline transcription on almost anything, including wearables.","Edge / offline voice","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Build or download release","Medium","🔍 Explore","Small/base models are enough for commands.","Speech-to-text on a potato.",""
"183","exo","11 · Local LLMs & Inference","Clusters","Framework","https://github.com/exo-explore/exo","exo-explore/exo","47,481","🟢 Active · last commit august 2026","FREE (open source)","Open source (Apache-2.0)","Pool everyday devices into one cluster to run models too big for any single machine.","Run big models across spare laptops/phones.","Tinkerers","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","See repo","High","🔍 Explore","More fun than practical today.","Your old laptops = one AI cluster.",""
"184","MLX","11 · Local LLMs & Inference","Engines","Framework","https://github.com/ml-explore/mlx","ml-explore/mlx","28,448","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Apple's array framework for fast ML on Apple Silicon.","Best performance per watt on Macs.","Mac users","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","macOS (Apple Silicon)","pip install mlx-lm","Medium","🔍 Explore","Not relevant on Windows — listed for Mac followers.","Why Macs are great at local AI.",""
"185","Unsloth","12 · Fine-Tuning & Training","Fine-tuning","Library","https://github.com/unslothai/unsloth","unslothai/unsloth","76,302","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0); paid Pro tiers","Fine-tune LLMs about 2x faster with far less VRAM; free Colab notebooks; GGUF export.","Makes fine-tuning possible on one consumer GPU or a free Colab.","Solo fine-tuners","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Linux / WSL2 / Windows / Colab","pip install unsloth","Medium","🚀 Add now","Start from their notebooks; export straight to Ollama.","Fine-tune an LLM on a free GPU.",""
"186","Axolotl","12 · Fine-Tuning & Training","Fine-tuning","Framework","https://github.com/axolotl-ai-cloud/axolotl","axolotl-ai-cloud/axolotl","12,481","🟢 Active · last commit yesterday","FREE (open source)","Open source (Apache-2.0)","YAML-configured post-training: SFT, LoRA/QLoRA, DPO, GRPO, multi-GPU.","Reproducible training configs for client projects.","Serious fine-tuning pipelines","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Linux / Docker","pip install axolotl","High","🚀 Add now","One YAML per experiment = auditability.","Fine-tuning as a config file.",""
"187","LLaMA-Factory","12 · Fine-Tuning & Training","Fine-tuning","Framework + Web UI","https://github.com/hiyouga/LlamaFactory","hiyouga/LlamaFactory","74,832","🟢 Active · last commit last monday","FREE (open source)","Open source (Apache-2.0)","Unified fine-tuning for 100+ models with a no-code web UI.","Fine-tune through a browser UI — great for first runs and demos.","First-time fine-tuners","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","llamafactory-cli webui","Medium","🔍 Explore","Broadest model coverage.","Fine-tune with zero code.",""
"188","TRL","12 · Fine-Tuning & Training","Fine-tuning","Library","https://github.com/huggingface/trl","huggingface/trl","19,334","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Hugging Face's post-training library: SFT, DPO, GRPO, reward modelling.","The reference implementations other tools build on.","RL / preference tuning","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","pip install trl","High","🔍 Explore","GRPO trainer is the entry to reasoning-style RL.","RLHF, open source.",""
