"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"49","Pydantic AI","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/pydantic/pydantic-ai","pydantic/pydantic-ai","20,010","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Type-safe agent framework from the Pydantic team: validated outputs, dependency injection, evals.","FastAPI-style ergonomics; outputs are guaranteed to match your schema.","Python backend devs","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install pydantic-ai","Low","🚀 Add now","Excellent fit for document-processing pipelines.","Agents with type safety.",""
"50","LlamaIndex","09 · Agent Frameworks & LLM Libraries","Python","Framework","https://github.com/run-llama/llama_index","run-llama/llama_index","52,202","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Data framework for LLM apps: ingestion, indexing, retrieval, document agents and workflows.","The most complete RAG toolbox.","RAG & document AI","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install llama-index","Medium","🚀 Add now","Start with the simplest retriever; add complexity only after evals.","The RAG toolbox.",""
"51","Instructor","09 · Agent Frameworks & LLM Libraries","Structured output","Library","https://github.com/567-labs/instructor","567-labs/instructor","13,911","🟢 Active · last commit last friday","FREE (open source)","Open source (MIT)","Structured outputs from any LLM via Pydantic models with automatic retries.","The simplest reliable JSON extraction.","Extraction pipelines","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install instructor","Low","🚀 Add now","Perfect for invoices, contracts and form extraction.","LLM output you can trust as JSON.",""
"52","LiteLLM","09 · Agent Frameworks & LLM Libraries","Gateways","Library + proxy","https://github.com/BerriAI/litellm","BerriAI/litellm","58,998","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + enterprise","Call 100+ LLM APIs in the OpenAI format; proxy server with keys, budgets, fallbacks and logging.","One endpoint for Ollama + cloud models, with per-client spend limits.","Anyone serving multiple models/clients","Python / TypeScript apps; most support local models","Windows / macOS / Linux","pip install 'litellm[proxy]'","Medium","🚀 Add now","Virtual keys per client = instant usage-based billing.","One API for every LLM.",""
"53","OpenRouter","09 · Agent Frameworks & LLM Libraries","Gateways","API platform","https://openrouter.ai","","","—","FREEMIUM","Pay-as-you-go; some free models","Unified API and billing for hundreds of models.","Try any new model the day it ships without a new account.","Model hoppers","Python / TypeScript apps; most support local models","Windows / macOS / Linux","Create key, use OpenAI-compatible endpoint","Low","🚀 Add now","Set provider preferences to avoid quantised endpoints.","Every model. One key.",""
"54","awesome-n8n-templates","10 · Workflow Automation","Templates","Template collection","https://github.com/enescingoz/awesome-n8n-templates","enescingoz/awesome-n8n-templates","25,418","🟢 Active · last commit last saturday","FREE (open source)","Open source","Hundreds of free n8n workflows by category (Gmail, Telegram, RAG, Notion...).","Ready client-demo material.","n8n freelancers","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Import JSON","Low","🚀 Add now","Check credentials/nodes for outdated versions.","280+ free automations.",""
"55","n8n Self-hosted AI Starter Kit","10 · Workflow Automation","Starter kits","Docker template","https://github.com/n8n-io/self-hosted-ai-starter-kit","n8n-io/self-hosted-ai-starter-kit","15,254","🟢 Active · last commit july 2026","FREE (open source)","Open source (Apache-2.0)","Docker Compose bundle: n8n + Ollama + Qdrant + Postgres.","A private AI automation stack on one VPS in one command — a sellable client package.","Private-AI deployments","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","git clone → docker compose --profile cpu up","Low","🚀 Add now","Exactly the on-prem offer enterprises ask for.","Private AI stack. One docker compose.",""
"56","Trigger.dev","10 · Workflow Automation","Background jobs","Platform","https://github.com/triggerdotdev/trigger.dev","triggerdotdev/trigger.dev","16,323","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0) + cloud freemium","Long-running background jobs and AI workflows in TypeScript with retries, queues and observability.","No timeouts — ideal for LLM chains and media processing from a Next.js app.","TS full-stack devs","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","npx trigger.dev@latest init","Medium","🚀 Add now","Solves serverless timeouts for AI tasks.","Background jobs without the infra.",""
"57","Dify","10 · Workflow Automation","LLM app builders","Platform","https://github.com/langgenius/dify","langgenius/dify","156,155","🟢 Active · last commit today","FREE (open source)","Open source (modified Apache-2.0) + cloud","Visual LLM app platform: chatflows, agents, RAG pipeline, model management, API.","Ship a client-facing RAG chatbot with admin UI in a day.","Agencies, internal tools","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker compose up","Low","🚀 Add now","License restricts multi-tenant SaaS — check it.","A RAG chatbot in a day.",""
"58","LM Studio","11 · Local LLMs & Inference","Runners","Desktop app","https://lmstudio.ai","","","—","FREE (closed source)","Free for personal and work use (verify terms)","Desktop GUI to discover, download, chat with and serve local models; MLX + llama.cpp backends.","Friendliest way to compare quantisations and models visually.","Beginners, model testers","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","Download","Low","🚀 Add now","Its local server is OpenAI-compatible — point n8n at it.","The App Store for local AI.",""
"59","vLLM","11 · Local LLMs & Inference","Serving","Inference server","https://github.com/vllm-project/vllm","vllm-project/vllm","92,022","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","High-throughput GPU serving with PagedAttention, continuous batching and OpenAI-compatible API.","Production serving for many concurrent users — the step after Ollama.","Enterprise private-LLM deployments","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Linux (WSL2 / Docker on Windows)","pip install vllm  →  vllm serve <model>","High","🚀 Add now","Linux + NVIDIA. On Windows use WSL2 or Docker.","How you serve an LLM to 1,000 users.",""
"60","Open WebUI","11 · Local LLMs & Inference","Interfaces","Web app","https://github.com/open-webui/open-webui","open-webui/open-webui","152,387","🟢 Active · last commit september 2026","FREE (open source)","Open source (custom license with branding clause)","Self-hosted ChatGPT-style UI for Ollama and OpenAI-compatible APIs with RAG, users, roles and tools.","Hand a client a private ChatGPT with SSO and document chat in an afternoon.","Client deployments, teams","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","docker run -d -p 3000:8080 -v open-webui:/app/backend/data --name open-webui ghcr.io/open-webui/open-webui:main","Low","🚀 Add now","Read the license before white-labelling.","A private ChatGPT for your company.",""
"61","Hugging Face Hub","11 · Local LLMs & Inference","Model hubs","Platform","https://huggingface.co","","","—","FREEMIUM","Free; paid compute / Pro","The home of open models, datasets and Spaces.","Every open model, leaderboard and dataset starts here.","Everyone in AI","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","pip install huggingface_hub","Low","🚀 Add now","Follow model authors (Qwen, Nous, unsloth) for day-one releases.","GitHub, but for AI models.",""
"62","Unsloth","12 · Fine-Tuning & Training","Fine-tuning","Library","https://github.com/unslothai/unsloth","unslothai/unsloth","76,302","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0); paid Pro tiers","Fine-tune LLMs about 2x faster with far less VRAM; free Colab notebooks; GGUF export.","Makes fine-tuning possible on one consumer GPU or a free Colab.","Solo fine-tuners","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Linux / WSL2 / Windows / Colab","pip install unsloth","Medium","🚀 Add now","Start from their notebooks; export straight to Ollama.","Fine-tune an LLM on a free GPU.",""
"63","Axolotl","12 · Fine-Tuning & Training","Fine-tuning","Framework","https://github.com/axolotl-ai-cloud/axolotl","axolotl-ai-cloud/axolotl","12,481","🟢 Active · last commit yesterday","FREE (open source)","Open source (Apache-2.0)","YAML-configured post-training: SFT, LoRA/QLoRA, DPO, GRPO, multi-GPU.","Reproducible training configs for client projects.","Serious fine-tuning pipelines","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Linux / Docker","pip install axolotl","High","🚀 Add now","One YAML per experiment = auditability.","Fine-tuning as a config file.",""
"64","Transformers","12 · Fine-Tuning & Training","Core libraries","Library","https://github.com/huggingface/transformers","huggingface/transformers","166,301","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","The model-definition library for text, vision, audio and multimodal models.","The foundation of the open-model ecosystem.","ML engineers","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","pip install transformers","Medium","🚀 Add now","Learn pipelines first, then model classes.","The library behind every open model.",""
"65","RunPod","12 · Fine-Tuning & Training","GPU clouds","GPU cloud","https://www.runpod.io","","","—","PAID","Pay per second/hour; community + secure cloud","On-demand GPUs, templates and serverless GPU endpoints.","Cheap A100/H100 hours for a fine-tune, then shut down.","Fine-tuners","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","Deploy a pod from a template","Low","🚀 Add now","Use a network volume so data survives pod deletion.","Rent an H100 for the price of a coffee.",""
"66","Modal","12 · Fine-Tuning & Training","GPU clouds","Serverless compute","https://modal.com","","","—","FREEMIUM","Monthly free credits; pay per second","Serverless GPUs from Python decorators; scale to zero.","Deploy a fine-tuned model or batch job without touching infra.","Python devs","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","pip install modal","Low","🚀 Add now","Scale-to-zero is ideal for low-traffic client endpoints.","GPUs with a Python decorator.",""
"67","Google Colab","12 · Fine-Tuning & Training","Notebooks","Platform","https://colab.research.google.com","","","—","FREEMIUM","Free GPU tier; paid Pro","Hosted Jupyter notebooks with free GPUs.","Zero-cost start for fine-tuning and ML learning.","Students, experimenters","PyTorch, Hugging Face; export to GGUF / Ollama / vLLM","Windows / macOS / Linux","Open in browser","Low","🚀 Add now","Unsloth notebooks run on the free T4.","A free GPU in your browser.",""
"68","Qdrant","13 · RAG, Memory, Vector DBs & Document Parsing","Vector DBs","Database","https://github.com/qdrant/qdrant","qdrant/qdrant","34,636","🟢 Active · last commit september 2026","FREE (open source)","Open source (Apache-2.0) + managed cloud free tier","Rust vector database with filtering, hybrid search and quantisation.","Fast, easy to self-host, first-class n8n node — a safe default.","Self-hosted RAG","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","docker run -p 6333:6333 qdrant/qdrant","Low","🚀 Add now","Use payload filters for multi-tenant client data.","The vector DB I would pick today.",""
"69","pgvector","13 · RAG, Memory, Vector DBs & Document Parsing","Vector DBs","Postgres extension","https://github.com/pgvector/pgvector","pgvector/pgvector","23,045","🟢 Active · last commit september 2026","FREE (open source)","Open source (PostgreSQL license)","Vector similarity search inside Postgres.","No new infrastructure if you already run Postgres/Supabase.","Apps already on Postgres","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","CREATE EXTENSION vector;","Low","🚀 Add now","Below a few million vectors you rarely need more.","You may not need a vector database.",""
"70","Mem0","13 · RAG, Memory, Vector DBs & Document Parsing","Agent memory","Library + platform","https://github.com/mem0ai/mem0","mem0ai/mem0","65,502","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0) + managed platform","Memory layer that extracts, stores and retrieves user facts across sessions.","Personalised assistants and bots in a few lines.","Chatbots, assistants","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","pip install mem0ai","Low","🚀 Add now","Give users a way to view/delete memories.","Give your bot a memory.",""
"71","RAGFlow","13 · RAG, Memory, Vector DBs & Document Parsing","RAG engines","Platform","https://github.com/infiniflow/ragflow","infiniflow/ragflow","90,886","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","RAG engine centred on deep document understanding, with chunk visualisation and citations.","Best results on messy PDFs, scans and tables.","Document-heavy enterprise RAG","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","docker compose up","Medium","🚀 Add now","Heavier footprint — give it a proper server.","RAG that actually reads your PDFs.",""
"72","Docling","13 · RAG, Memory, Vector DBs & Document Parsing","Document parsing","Library","https://github.com/docling-project/docling","docling-project/docling","66,551","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Parses PDF, DOCX, PPTX, images and more into structured Markdown/JSON with layout and table understanding.","Runs locally — ideal for confidential client documents.","Document-processing pipelines","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","pip install docling","Low","🚀 Add now","First choice for contract and report extraction.","PDFs to clean Markdown, locally.",""
"73","MarkItDown (Microsoft)","13 · RAG, Memory, Vector DBs & Document Parsing","Document parsing","Library + CLI","https://github.com/microsoft/markitdown","microsoft/markitdown","185,086","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Converts Office files, PDFs, HTML, audio and more to Markdown for LLMs; includes an MCP server.","One line to make any file LLM-readable.","Everyone feeding files to LLMs","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","pip install 'markitdown[all]'","Low","🚀 Add now","Fast but simple — use Docling/MinerU for complex layouts.","Any file to Markdown in one line.",""
"74","RAG_Techniques","13 · RAG, Memory, Vector DBs & Document Parsing","Learning","Tutorial repo","https://github.com/NirDiamant/RAG_Techniques","NirDiamant/RAG_Techniques","29,518","🟢 Active · last commit last tuesday","FREE (open source)","Open source","Notebook collection covering dozens of advanced RAG techniques.","A menu of fixes when your RAG underperforms.","RAG builders","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","Open notebooks","Low","🚀 Add now","Add techniques only after an eval shows the need.","30+ ways to fix bad RAG.",""
"75","sentence-transformers","13 · RAG, Memory, Vector DBs & Document Parsing","Embeddings","Library","https://github.com/huggingface/sentence-transformers","huggingface/sentence-transformers","19,097","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Embeddings, rerankers and sparse encoders; fine-tune your own.","Local embeddings + reranking — reranking is the cheapest RAG quality win.","Private RAG","LangChain, LlamaIndex, n8n, custom Python/TS","Windows / macOS / Linux","pip install sentence-transformers","Low","🚀 Add now","Add a cross-encoder reranker before anything fancy.","The cheapest RAG upgrade: a reranker.",""
"76","Firecrawl","14 · Web Scraping & Data for AI","LLM-ready crawling","Platform + API","https://github.com/firecrawl/firecrawl","firecrawl/firecrawl","181,607","🟢 Active · last commit today","FREE (open source)","Open source (AGPL-3.0) self-host; cloud freemium","Turn websites into LLM-ready Markdown or structured data: scrape, crawl, map, search, extract.","Handles JS rendering, proxies and anti-bot so you do not.","RAG ingestion, market data","Python / Node, n8n, MCP agents","Windows / macOS / Linux","pip install firecrawl-py","Low","🚀 Add now","Self-hosted version lacks some cloud anti-bot features.","Any website to clean data.",""
"77","Crawl4AI","14 · Web Scraping & Data for AI","LLM-ready crawling","Library","https://github.com/unclecode/crawl4ai","unclecode/crawl4ai","83,789","🟢 Active · last commit august 2026","FREE (open source)","Open source (Apache-2.0)","Async, LLM-friendly crawler producing clean Markdown with extraction strategies.","Free Firecrawl alternative you fully control.","Budget scraping, RAG ingestion","Python / Node, n8n, MCP agents","Windows / macOS / Linux","pip install crawl4ai  →  crawl4ai-setup","Medium","🚀 Add now","Use CSS/XPath extraction where possible; LLM extraction only when needed.","Firecrawl, but free.",""
"78","Jina Reader","14 · Web Scraping & Data for AI","LLM-ready crawling","API","https://github.com/jina-ai/reader","jina-ai/reader","12,019","🟡 Slower · last commit may 2026","FREE (open source)","Open source (Apache-2.0); hosted API with free tier","Prefix any URL with r.jina.ai to get clean Markdown.","Zero-setup page-to-Markdown in any workflow, including n8n HTTP nodes.","Quick integrations","Python / Node, n8n, MCP agents","Windows / macOS / Linux","GET https://r.jina.ai/<url>","Low","🚀 Add now","s.jina.ai does search the same way.","Add 9 characters. Get clean Markdown.",""
"79","repomix","14 · Web Scraping & Data for AI","Code context","CLI tool","https://github.com/yamadashy/repomix","yamadashy/repomix","28,388","🟢 Active · last commit last sunday","FREE (open source)","Open source (MIT)","Packs a repository into a single AI-friendly file with token counts and secret checks.","Paste a whole codebase into any chat model for review or planning.","Cross-model code review","Python / Node, n8n, MCP agents","Windows / macOS / Linux","npx repomix","Low","🚀 Add now","Use --compress to fit bigger repos.","Your whole repo in one file.",""
"80","gitingest","14 · Web Scraping & Data for AI","Code context","Web + CLI tool","https://github.com/coderamp-labs/gitingest","coderamp-labs/gitingest","15,516","🟠 Quiet · last commit august 2025","FREE (open source)","Open source (MIT)","Replace 'hub' with 'ingest' in any GitHub URL to get a prompt-friendly text digest.","Instant context on someone else's repo.","Learning from open source","Python / Node, n8n, MCP agents","Windows / macOS / Linux","Swap github.com → gitingest.com","Low","🚀 Add now","Great for asking an LLM how a library works.","Change 3 letters in a GitHub URL.",""
"81","DuckDB","14 · Web Scraping & Data for AI","Data tools","Database","https://github.com/duckdb/duckdb","duckdb/duckdb","41,437","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","In-process analytical SQL database; query CSV/Parquet/JSON directly.","Analyse millions of rows on a laptop with plain SQL.","Data wrangling","Python / Node, n8n, MCP agents","Windows / macOS / Linux","pip install duckdb","Low","🚀 Add now","Agents are very good at writing DuckDB SQL.","SQLite for analytics.",""
"82","Langfuse","15 · Evals, Observability & Guardrails","Observability","Platform","https://github.com/langfuse/langfuse","langfuse/langfuse","34,728","🟢 Active · last commit today","FREE (open source)","Open source (MIT core) + cloud free tier","LLM engineering platform: traces, evals, prompt management, datasets, cost tracking.","See every prompt, token and latency — the first thing to add to a client deployment.","Any production LLM app","Any LLM app; LangChain, LlamaIndex, Vercel AI SDK, n8n","Windows / macOS / Linux","git clone → docker compose up","Medium","🚀 Add now","Self-host for clients with data-residency needs.","X-ray vision for your LLM app.",""
"83","promptfoo","15 · Evals, Observability & Guardrails","Evals","CLI tool","https://github.com/promptfoo/promptfoo","promptfoo/promptfoo","25,230","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Test prompts, agents and RAG with declarative configs; compare models; red-team for vulnerabilities.","Unit tests for prompts — run in CI so a prompt tweak cannot silently break things.","Anyone shipping prompts","Any LLM app; LangChain, LlamaIndex, Vercel AI SDK, n8n","Windows / macOS / Linux","npx promptfoo@latest init","Low","🚀 Add now","Start with 10 real cases from production logs.","Unit tests for prompts.",""
"84","Hamel Husain: evals writing","15 · Evals, Observability & Guardrails","Learning","Blog","https://hamel.dev","","","—","FREE (closed source)","Free","The most practical writing on LLM evals and error analysis.","Teaches the habit that matters: look at your data.","Anyone shipping LLM features","Any LLM app; LangChain, LlamaIndex, Vercel AI SDK, n8n","Windows / macOS / Linux","Read","Low","🚀 Add now","Start with 'Your AI product needs evals'.","The eval advice everyone quotes.",""
"85","Coolify","16 · DevOps, Self-Hosting & Deployment","Self-hosted PaaS","Platform","https://github.com/coollabsio/coolify","coollabsio/coolify","61,933","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0); optional paid cloud","Self-hostable Heroku/Vercel/Netlify alternative: git push deploys, databases, SSL, backups and hundreds of one-click services.","Turns a cheap VPS into your own PaaS for all your products and client apps.","Solo founders with many apps","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","curl -fsSL https://cdn.coollabs.io/coolify/install.sh | sudo bash","Medium","🚀 Add now","Give it 2+ vCPU / 4 GB RAM; keep Coolify itself on a separate box from heavy apps if possible.","I cancelled my hosting bills. Here is how.",""
"86","Dokploy","16 · DevOps, Self-Hosting & Deployment","Self-hosted PaaS","Platform","https://github.com/Dokploy/dokploy","Dokploy/dokploy","37,352","🟢 Active · last commit last friday","FREE (open source)","Open source (Apache-2.0 with additional terms) + cloud","Lightweight self-hosted PaaS with Docker Compose support, Traefik, monitoring and multi-server.","Lighter than Coolify; excellent Compose-first workflow.","Small VPS users","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","curl -sSL https://dokploy.com/install.sh | sh","Low","🚀 Add now","Best fit when everything you ship is already a docker-compose.yml.","Vercel on your own VPS.",""
"87","Caddy","16 · DevOps, Self-Hosting & Deployment","Reverse proxies","Web server","https://github.com/caddyserver/caddy","caddyserver/caddy","75,900","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Web server with automatic HTTPS and a tiny config file.","Two lines of config for a reverse proxy with TLS.","Simple VPS setups","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","See install docs","Low","🚀 Add now","The easiest way to put n8n behind HTTPS.","HTTPS in two lines.",""
"88","Hetzner Cloud","16 · DevOps, Self-Hosting & Deployment","VPS","Infrastructure","https://www.hetzner.com/cloud","","","—","PAID","From a few EUR/month (verify)","Very good price/performance VPS and dedicated servers (EU, US, Singapore).","The standard cheap box for Coolify, n8n and self-hosted stacks.","Self-hosters","Docker, any VPS, GitHub","Web","Create a server","Low","🚀 Add now","Check region latency and payment options for your country.","A 4 GB server for the price of a latte.",""
"89","Supabase","16 · DevOps, Self-Hosting & Deployment","Backend-as-a-service","Platform","https://github.com/supabase/supabase","supabase/supabase","110,037","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0); cloud free tier + paid","Postgres backend with auth, storage, realtime, edge functions and pgvector.","Backend for an MVP in an afternoon, with SQL you can keep.","MVPs, mobile apps","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","npx supabase init","Low","🚀 Add now","Turn on Row Level Security before launch.","A full backend in 5 minutes.",""
"90","PocketBase","16 · DevOps, Self-Hosting & Deployment","Backend-as-a-service","Backend","https://github.com/pocketbase/pocketbase","pocketbase/pocketbase","61,070","🟢 Active · last commit last saturday","FREE (open source)","Open source (MIT)","Single-file Go backend: SQLite DB, auth, file storage, realtime and admin UI.","One binary on a tiny VPS runs a whole product.","Small apps, internal tools","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","Download binary → ./pocketbase serve","Low","🚀 Add now","Pre-1.0: pin versions.","A backend in one file.",""
"91","Uptime Kuma","16 · DevOps, Self-Hosting & Deployment","Monitoring","Web app","https://github.com/louislam/uptime-kuma","louislam/uptime-kuma","91,474","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Self-hosted uptime monitoring with status pages and Telegram/Slack alerts.","Know before your client does.","Anyone hosting anything","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","docker compose (see README)","Low","🚀 Add now","Telegram alerts are a 2-minute setup.","Know your site is down before your client.",""
"92","Sentry","16 · DevOps, Self-Hosting & Deployment","Error tracking","Platform","https://github.com/getsentry/sentry","getsentry/sentry","44,792","🟢 Active · last commit today","FREE (open source)","Source-available (FSL); cloud free tier + paid","Error and performance monitoring with stack traces, releases and session replay.","Find the exact line that broke in production.","Every production app","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","npx @sentry/wizard@latest -i nextjs","Low","🚀 Add now","Free developer tier is enough for side projects.","Stop asking users for screenshots.",""
"93","PostHog","16 · DevOps, Self-Hosting & Deployment","Product analytics","Platform","https://github.com/PostHog/posthog","PostHog/posthog","39,832","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + cloud free tier","Product analytics, session replay, feature flags, experiments, surveys and LLM analytics.","One tool instead of five; generous free tier.","Product builders","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","npx -y @posthog/wizard@latest","Low","🚀 Add now","Watch 10 session replays before redesigning anything.","Watch how users really use your app.",""
"94","Umami","16 · DevOps, Self-Hosting & Deployment","Web analytics","Platform","https://github.com/umami-software/umami","umami-software/umami","38,885","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + cloud","Simple privacy-focused analytics; easy one-click on Coolify/Vercel.","Free self-hosted analytics for every project.","Indie sites","Docker, any VPS, GitHub","Linux VPS (manage from Windows / macOS)","docker compose up","Low","🚀 Add now","One instance can track all your sites.","Google Analytics, minus the creepiness.",""
"95","GitHub Actions","16 · DevOps, Self-Hosting & Deployment","CI/CD","Platform","https://github.com/features/actions","","","—","FREEMIUM","Free minutes (unlimited for public repos); paid beyond","CI/CD workflows in YAML next to your code.","Tests, builds, deploys and agent runs on every push.","Every repo","Docker, any VPS, GitHub","Web","Add .github/workflows/*.yml","Low","🚀 Add now","Ask the agent to write the workflow — it is good at it.","Your robot release manager.",""
"96","Tailscale","16 · DevOps, Self-Hosting & Deployment","Networking","Service","https://tailscale.com","","","—","FREEMIUM","Free personal plan; paid teams","Zero-config WireGuard mesh VPN between your devices and servers.","SSH into any server or home GPU box from anywhere, no open ports.","Multi-machine setups","Docker, any VPS, GitHub","Windows / macOS / Linux / mobile","winget install tailscale.tailscale","Low","🚀 Add now","Reach your home Ollama box from a café.","Your own private internet.",""
"97","restic","16 · DevOps, Self-Hosting & Deployment","Backups","CLI tool","https://github.com/restic/restic","restic/restic","36,099","🟢 Active · last commit august 2026","FREE (open source)","Open source (BSD-2)","Fast, encrypted, deduplicated backups to S3/R2/B2 and more.","Cheap insurance for client databases and n8n data.","Anyone self-hosting","Docker, any VPS, GitHub","Windows / macOS / Linux","scoop install restic","Medium","🚀 Add now","A backup you have not restored is a hope, not a backup.","One command between you and disaster.",""
"98","awesome-selfhosted","16 · DevOps, Self-Hosting & Deployment","Directories","Awesome list","https://github.com/awesome-selfhosted/awesome-selfhosted","awesome-selfhosted/awesome-selfhosted","319,874","🟢 Active · last commit last tuesday","FREE (open source)","Open source","The directory of self-hostable software.","Replace a SaaS subscription with a container.","Self-hosters","Docker, any VPS, GitHub","Web","Browse","Low","🚀 Add now","Check the license and last-commit columns.","Cancel a subscription today.",""
"99","Semgrep","17 · Security & Code Quality (AI era)","SAST","CLI tool","https://github.com/semgrep/semgrep","semgrep/semgrep","16,680","🟢 Active · last commit september 2026","FREE (open source)","Open source engine (LGPL-2.1) + paid platform","Fast static analysis with readable rules for 30+ languages.","Catch injection and auth bugs that AI-written code introduces.","Every repo with AI-written code","Git repos, CI pipelines, LLM apps","Windows / macOS / Linux","pip install semgrep  →  semgrep scan --config auto","Low","🚀 Add now","Run it as a Claude Code Stop hook or in CI.","AI writes bugs. This finds them.",""
"100","gitleaks","17 · Security & Code Quality (AI era)","Secrets","CLI tool","https://github.com/gitleaks/gitleaks","gitleaks/gitleaks","29,363","🟢 Active · last commit july 2026","FREE (open source)","Open source (MIT)","Detects hardcoded secrets in git repos and history.","Agents happily commit API keys; this stops that.","Every repo","Git repos, CI pipelines, LLM apps","Windows / macOS / Linux","gitleaks detect (pre-commit hook)","Low","🚀 Add now","Add as a pre-commit hook today.","You have an API key in git. Want to bet?",""
"101","Trivy","17 · Security & Code Quality (AI era)","Vulnerability scanning","CLI tool","https://github.com/aquasecurity/trivy","aquasecurity/trivy","37,960","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Scanner for containers, filesystems, IaC, dependencies and secrets.","One tool for image + dependency + config scanning.","Docker users","Git repos, CI pipelines, LLM apps","Windows / macOS / Linux","trivy image <image>  /  trivy fs .","Low","🚀 Add now","Scan images in CI before deploy.","Scan your Docker image in 10 seconds.",""
"102","Claude Code Security Review","17 · Security & Code Quality (AI era)","AI review","GitHub Action","https://github.com/anthropics/claude-code-security-review","anthropics/claude-code-security-review","6,235","🟡 Slower · last commit february 2026","FREE (open source)","Open source (MIT) + API usage","GitHub Action (and /security-review command) that reviews diffs for vulnerabilities.","Context-aware review beyond pattern matching.","Claude Code users","Git repos, CI pipelines, LLM apps","Windows / macOS / Linux","Add the action to a workflow","Low","🚀 Add now","Run /security-review before every release.","A security review on every PR.",""
"103","Socket","17 · Security & Code Quality (AI era)","Supply chain","SaaS","https://socket.dev","","","—","FREEMIUM","Free for open source; paid teams","Detects malicious and risky dependencies before install.","Agents install packages freely — including hallucinated or typosquatted ones.","npm / PyPI heavy projects","Git repos, CI pipelines, LLM apps","Windows / macOS / Linux","Install GitHub app","Low","🚀 Add now","'Slopsquatting' is real: verify packages an AI suggests.","AI just installed malware. Maybe.",""
